tt0000112	short	Rip's Toast to Hudson	1896	1
tt0000113	short	Rip's Twenty Years' Sleep	1896	1
tt0000114	short	French Regiment Going to the Parade	1896	\N
tt0000115	short	Réunion d'officiers	1896	\N
tt0000116	short	Sac au dos	1896	\N
tt0000117	short	Saída do Pessoal Operário da Fábrica Confiança	1896	1
tt0000118	short	Salut malencontreux d'un déserteur	1896	\N
tt0000119	short	Rescue on the River, Pt. 2	1896	\N
tt0000120	short	Rescue on the River, Pt. 1	1896	\N
tt0000121	short	The Soldier's Courtship	1896	1
tt0000122	short	Closing Hours at Vibert's Perfume Factory	1896	\N
tt0000123	short	Conjuring	1896	1
tt0000124	short	Tempête sur la jetée du treport	1896	\N
tt0000125	short	The Terrible Railway Accident	1896	\N
tt0000126	short	Tom Old Boot	1896	\N
tt0000127	short	Les tribulations d'un concierge	1896	\N
tt0000128	short	Academy for Young Ladies	1896	\N
tt0000129	short	Un petit diable	1896	\N
tt0000130	short	Une altercation au café	1896	\N
tt0000131	short	A Terrible Night	1896	1
tt0000132	short	Card Party	1896	1
tt0000133	short	La voiture du potier	1896	\N
tt0000134	short	The Wandering Negro Minstrels	1896	\N
tt0000135	short	A Watermelon Feast	1896	\N
tt0000137	short	Au réfectoire	1897	\N
tt0000138	short	The Bewitched Inn	1897	2
tt0000139	short	L'aveugle	1897	\N
tt0000140	short	Baignade dans le torrent	1897	1
tt0000141	short	Ballet libella	1897	2
tt0000142	short	Buffalo Bill and Escort	1897	\N
tt0000143	short	Les cambrioleurs	1897	1
tt0000144	short	Chez le magnétiseur	1897	1
tt0000145	short	En classe	1897	\N
tt0000146	short	Le cocher de fiacre endormi	1897	\N
tt0000147	movie	The Corbett-Fitzsimmons Fight	1897	100
tt0000148	short	Le Coucher d'Yvette	1897	\N
tt0000149	short	Behind the Scenes	1897	\N
tt0000150	short	Danse fleur de lotus	1897	1
tt0000151	short	Faust et Marguerite	1897	\N
tt0000152	short	The Hallucinated Alchemist	1897	2
tt0000153	short	The Haunted Castle	1897	1
tt0000154	short	Henley Regatta	1897	\N
tt0000155	short	The Hypnotist at Work	1897	\N
tt0000156	short	A Badly Managed Hotel	1896	\N
tt0000157	short	Idylle	1897	\N
tt0000158	short	Idylle interrompue	1897	\N
tt0000159	short	The Devil's Laboratory	1897	1
tt0000160	short	The Last Days of Pompeii	1900	\N
tt0000161	short	Leçon de danse	1897	\N
tt0000162	short	Niagara Falls	1897	1
tt0000163	short	Le planton du colonel	1897	\N
tt0000164	short	Le pêcheur dans le torrent	1897	1
tt0000165	short	Riña en un café	1897	1
tt0000166	short	Salida de los trabajadores de la fábrica España Industrial	1897	1
tt0000167	short	Salida de misa de doce del Pilar de Zaragoza	1897	\N
tt0000168	short	Salida del público de la iglesia parroquial de Santa María de Sans	1897	1
tt0000169	short	Slagsmål i gamla Stockholm	1897	1
tt0000170	short	The Twins' Tea Party	1896	1
tt0000171	short	Une nuit agitée	1897	1
tt0000172	short	The X-Ray Fiend	1897	1
tt0000173	short	Battle of Santiago Bay	1900	\N
tt0000174	short	Výstavní párkar a lepic plakátù	1898	1
tt0000175	short	A Sea Cave Near Lisbon	1896	1
tt0000176	short	Brittania	1898	\N
tt0000177	short	The Burglar on the Roof	1898	1
tt0000178	short	The Cavalier's Dream	1898	1
tt0000179	short	The Cave of the Demons	1898	\N
tt0000180	short	Le chemin de croix	1898	\N
tt0000181	short	Cinderella	1898	\N
tt0000182	short	Come Along, Do!	1898	1
tt0000183	short	The Corsican Brothers	1898	\N
tt0000184	short	Cripple Creek Bar-Room Scene	1899	1
tt0000185	short	La crèche à Bethléem	1898	\N
tt0000186	short	Le cuirassé Maine	1898	\N
tt0000187	short	La cène	1898	1
tt0000188	short	The Deserter	1898	\N
tt0000189	short	Dorotea	1898	\N
tt0000190	short	Dostavenícko ve mlýnici	1898	1
tt0000191	short	Déménagement à la cloche de bois	1898	\N
tt0000192	short	Ella Lola, a la Trilby	1898	\N
tt0000193	short	L'entrée à Jérusalem	1898	\N
tt0000194	short	Express Train on a Railway Cutting	1898	\N
tt0000195	short	Les farces de Jocko	1898	\N
tt0000196	short	Faust and Mephistopheles	1898	\N
tt0000197	short	La flagellation	1898	1
tt0000198	short	La fuite en Égypte	1898	1
tt0000199	short	Glasgow Fire Engine	1898	\N
tt0000200	short	Gran corrida de toros	1898	\N
tt0000201	short	Indian War Council	1894	\N
tt0000202	short	Le jardin des oliviers	1898	\N
